Cytokine	ES	pval	padj	Group
IL-24	0.304366166	0.318218333	0.684169416	Ccr2
IL-27	-0.142315449	0.470280645	0.856100876	Ccr2
IL-3	0.090427374	0.915354189	0.94843928	Ccr2
IL-30	-0.100581992	0.691327882	0.922213319	Ccr2
IL-31	-0.08792387	0.639849562	0.922213319	Ccr2
IL-33	-0.540296183	0.050273392	0.456830841	Ccr2
IL-34	-0.100627221	0.779655161	0.922213319	Ccr2
IL-36Ra	-0.046846289	0.865154714	0.930041318	Ccr2
IL-36a	-0.361052738	0.229773758	0.61753341	Ccr2
IL-4	-1.209886266	3.87369E-06	0.000111046	Ccr2
IL-5	-0.091404059	0.588361007	0.919982665	Ccr2
IL-6	-0.414789575	0.053119865	0.456830841	Ccr2
IL-7	-0.257601766	0.229779873	0.61753341	Ccr2
IL-9	-0.098041794	0.627667212	0.922213319	Ccr2
IL-Y	-0.356650611	0.150452067	0.575241369	Ccr2
Leptin	0.040770338	0.828800488	0.922213319	Ccr2
LIF	-0.008667378	0.907604081	0.94843928	Ccr2
LIGHT	0.089757526	0.774036805	0.922213319	Ccr2
LT-a1/b2	-0.166733627	0.503886072	0.866684044	Ccr2
LT-a2/b1	-0.208813497	0.377081546	0.737023021	Ccr2
M-CSF	-0.039901658	0.681446801	0.922213319	Ccr2
Noggin	0.176039053	0.711252248	0.922213319	Ccr2
NP	0.042617938	0.942538179	0.964979564	Ccr2
OSM	-0.232904943	0.291734656	0.680697209	Ccr2
OX40L	-0.183888904	0.353786595	0.72442017	Ccr2
PRL	0.233789719	0.522857312	0.881680957	Ccr2
PSPN	0.51949991	0.080845361	0.488386517	Ccr2
RANKL	-0.184712624	0.581643943	0.919982665	Ccr2
SCF	0.487276331	0.240653182	0.627156778	Ccr2
TGF-b1	0.019919814	0.821190283	0.922213319	Ccr2
TL1A	0.063058931	0.995126173	0.995126173	Ccr2
TNF-a	-0.634763268	0.012649796	0.135985309	Ccr2
TPO	0.042618628	0.894062974	0.94843928	Ccr2
TRAIL	0.118260332	0.74822866	0.922213319	Ccr2
TSLP	0.295589405	0.299633818	0.680697209	Ccr2
TWEAK	0.149063901	0.638103168	0.922213319	Ccr2
VEGF	0.44608559	0.084171221	0.488386517	Ccr2
4-1BBL	3.773427665	3.85691E-05	0.000184274	Gzmg
AdipoQ	-0.079799018	0.987328508	0.987328508	Gzmg
ADSF	0.56247335	0.503963263	0.545118696	Gzmg
APRIL	0.549692242	0.736896527	0.763531341	Gzmg
BAFF	2.971023445	0.007598636	0.013903888	Gzmg
C3a	-0.468092633	0.832037976	0.841826658	Gzmg
C5a	0.403051065	0.636358907	0.675640321	Gzmg
CD27L	1.059483241	0.228833548	0.289407134	Gzmg
CD30L	1.331489776	0.199141654	0.255614661	Gzmg
CD40L	3.265816676	0.000172162	0.000616912	Gzmg
CT-1	2.277499968	0.023139111	0.039018893	Gzmg
Decorin	1.387922933	0.101360744	0.145283733	Gzmg
EGF	2.504788997	0.008969764	0.01574285	Gzmg
FasL	2.888850464	0.00208781	0.00437931	Gzmg
FGF-b	1.891517754	0.014016996	0.024109234	Gzmg
FLT3L	0.903209673	0.455392421	0.502099336	Gzmg
G-CSF	3.883372841	3.12535E-05	0.000167988	Gzmg
GDNF	2.848374084	0.00114044	0.002972055	Gzmg
GITRL	2.307064394	0.024041235	0.039760504	Gzmg
GM-CSF	5.467569079	1.69974E-09	2.92355E-08	Gzmg
HGF	2.422073508	0.006562424	0.012268879	Gzmg
IFN-a1	1.354687438	0.083863224	0.124348919	Gzmg
IFN-b	0.961879929	0.237452384	0.293619689	Gzmg
IFN-g	5.470398032	1.08863E-08	1.56037E-07	Gzmg
IFN-e	1.600655228	0.080845475	0.121977383	Gzmg
IFN-k	3.03491425	0.000345779	0.001088097	Gzmg
IFN-l2	3.157387386	0.001341513	0.003393238	Gzmg
IGF-1	1.4035263	0.090172174	0.131437406	Gzmg
IL-10	4.028233934	6.11368E-05	0.000238989	Gzmg
IL-11	3.281640908	5.34185E-05	0.000236986	Gzmg
IL-12	6.949299919	3.54391E-13	7.6194E-12	Gzmg
IL-13	3.674757972	3.65764E-05	0.000184274	Gzmg
IL-15	13.39614492	5.64828E-28	4.85752E-26	Gzmg
IL-17A	3.719326456	5.98843E-05	0.000238989	Gzmg
IL-17B	2.685151432	0.002728149	0.005456298	Gzmg
IL-17C	1.140669525	0.252177224	0.305454103	Gzmg
IL-17D	0.933206709	0.435000875	0.485845133	Gzmg
IL-17E	4.105062204	1.04981E-05	6.74602E-05	Gzmg
IL-17F	3.393542398	0.000203065	0.000698543	Gzmg
IL-18	10.27852725	5.52823E-22	2.37714E-20	Gzmg
IL-19	1.05883497	0.343733977	0.399474622	Gzmg
IL-1Ra	0.762996653	0.287285276	0.343146302	Gzmg
IL-1a	-2.362932136	0.005958905	0.01164695	Gzmg
IL-1b	-4.289482523	9.37598E-06	6.71945E-05	Gzmg
IL-2	9.248979873	5.69053E-18	1.63129E-16	Gzmg
IL-20	2.713592327	0.00208781	0.00437931	Gzmg
IL-21	1.725795349	0.073488906	0.112857963	Gzmg
IL-22	1.098736173	0.190725893	0.252345028	Gzmg
IL-23	3.755140853	6.84811E-05	0.00025606	Gzmg
IL-24	1.597176349	0.067052799	0.104846194	Gzmg
IL-27	2.936763056	0.001423495	0.003497731	Gzmg
IL-3	0.59104932	0.7076157	0.742133539	Gzmg
IL-30	1.150454468	0.39992932	0.452551599	Gzmg
IL-31	1.63537442	0.118735353	0.164697425	Gzmg
IL-33	3.337345819	0.000354264	0.001088097	Gzmg
IL-34	3.041406865	0.000710965	0.002038101	Gzmg
IL-36Ra	2.822295319	0.001588119	0.003691304	Gzmg
IL-36a	1.801258066	0.04905081	0.078117957	Gzmg
IL-4	4.679690559	6.26152E-07	7.69272E-06	Gzmg
IL-5	4.265139565	4.38284E-06	3.42658E-05	Gzmg
IL-6	1.201445649	0.132605608	0.181017179	Gzmg
IL-7	4.674400555	3.30344E-06	2.84096E-05	Gzmg
IL-9	2.458990101	0.006514119	0.012268879	Gzmg
IL-Y	0.711473136	0.507087159	0.545118696	Gzmg
Leptin	2.665292834	0.000918213	0.0025473	Gzmg
LIF	2.797368634	0.001784877	0.004039458	Gzmg
LIGHT	3.421756458	0.00033621	0.001088097	Gzmg
LT-a1/b2	2.768925872	0.001488115	0.00355494	Gzmg
LT-a2/b1	3.103060465	0.000372559	0.00110483	Gzmg
M-CSF	3.518318696	2.98602E-05	0.000167988	Gzmg
Noggin	2.779170076	0.00101933	0.00273945	Gzmg
NP	4.403941099	3.18799E-06	2.84096E-05	Gzmg
OSM	3.738299144	5.51131E-05	0.000236986	Gzmg
OX40L	2.322360597	0.008348557	0.014957832	Gzmg
PRL	2.1910052	0.028665615	0.046514016	Gzmg
PSPN	0.661139266	0.391772249	0.449232179	Gzmg
RANKL	3.720275789	1.09819E-05	6.74602E-05	Gzmg
SCF	1.112238818	0.23899277	0.293619689	Gzmg
TGF-b1	-0.256568555	0.74612805	0.763893003	Gzmg
TL1A	1.032443192	0.178597599	0.239990523	Gzmg
TNF-a	1.341653329	0.196588916	0.255614661	Gzmg
TPO	0.816406471	0.324178547	0.381908974	Gzmg
TRAIL	2.756173639	0.002138804	0.004379456	Gzmg
TSLP	4.455936577	1.03137E-06	1.10873E-05	Gzmg
TWEAK	1.285905101	0.105502111	0.148740681	Gzmg
VEGF	2.629546298	0.001963151	0.004329001	Gzmg
4-1BBL	8.294071268	0.000205036	0.000629754	Mki67
AdipoQ	0.675841727	0.742430981	0.769265836	Mki67
ADSF	2.166963511	0.04293439	0.060530451	Mki67
APRIL	4.010423428	0.016476488	0.028339559	Mki67
BAFF	3.162441073	0.318219059	0.369822149	Mki67
C3a	-1.184617851	0.355480386	0.397030042	Mki67
C5a	0.35832888	0.733214437	0.768980995	Mki67
CD27L	2.894007257	0.036589136	0.054252857	Mki67
CD30L	1.610503988	0.18097618	0.222342164	Mki67
CD40L	8.203003236	6.82818E-07	5.33839E-06	Mki67
CT-1	3.423584703	0.040007801	0.057344515	Mki67
Decorin	1.456630862	0.256394535	0.310562394	Mki67
EGF	4.493291393	0.004171759	0.007972695	Mki67
FasL	3.941392638	0.035936131	0.054219426	Mki67
FGF-b	5.984223246	0.000812021	0.001939827	Mki67
FLT3L	1.364645767	0.262588581	0.313647472	Mki67
G-CSF	7.746361434	3.95843E-07	3.40425E-06	Mki67
GDNF	5.623960788	5.98843E-05	0.000234093	Mki67
GITRL	4.684856677	0.000673919	0.001704618	Mki67
GM-CSF	11.92920966	1.52289E-12	2.61936E-11	Mki67
HGF	5.5567298	7.20885E-05	0.00026912	Mki67
IFN-a1	1.82722836	0.298496974	0.35165397	Mki67
IFN-b	0.638287034	0.755396157	0.773381779	Mki67
IFN-g	7.712454169	1.33442E-07	1.49295E-06	Mki67
IFN-e	1.87737696	0.109776609	0.147512318	Mki67
IFN-k	6.036563494	0.000404998	0.001123543	Mki67
IFN-l2	3.290927452	0.006808814	0.012199125	Mki67
IGF-1	5.30000947	0.000967549	0.002248898	Mki67
IL-10	2.527671237	0.134503699	0.172646539	Mki67
IL-11	5.425281725	1.91387E-05	9.14406E-05	Mki67
IL-12	13.28348677	4.66294E-14	2.00506E-12	Mki67
IL-13	3.108004185	0.039303181	0.057289382	Mki67
IL-15	13.33254239	7.68826E-14	2.20397E-12	Mki67
IL-17A	6.83493813	8.27422E-06	5.47371E-05	Mki67
IL-17B	4.395295339	0.000286499	0.000849619	Mki67
IL-17C	4.229026325	0.01573982	0.02762499	Mki67
IL-17D	1.977681068	0.322980872	0.3703514	Mki67
IL-17E	8.316994607	1.38879E-07	1.49295E-06	Mki67
IL-17F	6.770065546	3.25312E-05	0.000141797	Mki67
IL-18	19.75599356	1.51616E-22	1.3039E-20	Mki67
IL-19	3.717295621	0.025291404	0.040278903	Mki67
IL-1Ra	2.820121974	0.031252149	0.048866996	Mki67
IL-1a	-4.987751577	0.001263906	0.00265112	Mki67
IL-1b	-6.141042682	0.000420246	0.001129412	Mki67
IL-2	14.35542227	1.17696E-13	2.53047E-12	Mki67
IL-20	3.825824478	0.001130671	0.002430943	Mki67
IL-21	5.967457423	0.002122301	0.004345664	Mki67
IL-22	2.985398159	0.032223239	0.049485688	Mki67
IL-23	5.777360916	0.000460744	0.001200728	Mki67
IL-24	1.352499226	0.164812504	0.205418484	Mki67
IL-27	4.817828718	0.000142877	0.000472592	Mki67
IL-3	2.059296058	0.108695361	0.147512318	Mki67
IL-30	0.068180206	0.538876844	0.579292608	Mki67
IL-31	0.910121123	0.33631413	0.380565989	Mki67
IL-33	4.749796309	0.005946679	0.010881157	Mki67
IL-34	5.425168573	8.14936E-05	0.000280338	Mki67
IL-36Ra	2.753109067	0.022845007	0.037069257	Mki67
IL-36a	4.50453618	0.000776942	0.001909057	Mki67
IL-4	10.20387786	6.14211E-09	8.80369E-08	Mki67
IL-5	7.536199187	2.96859E-06	2.12749E-05	Mki67
IL-6	0.708101957	0.568317396	0.603398716	Mki67
